"id","fname","ename","company","bussiness_group","board","name_type","symbol_status","code"
"436","شیرازح","PSHX1","ح . پتروشیمی شیراز","محصولات شیمیایی","تابلو اصلی","خاص","فعال","IRR1PSHZ0101"
"437","شیران","SSIN1","س . صنایع شیمیایی ایران","محصولات شیمیایی","تابلو فرعی","عام2","فعال","IRO1SSIN0001"
"438","شیرانح","SSIX1","ح . س . صنایع شیمیایی ایران","محصولات شیمیایی","تابلو فرعی","خاص","فعال","IRR1SSIN0101"
"439","غاذر","PIAZ1","کشت و صنعت پیاذر","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1PIAZ0001"
"440","غاذرح","PIAX1","ح . کشت و صنعت پیاذر","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1PIAZ0101"
"441","غالبر","KLBR1","لبنیات کالبر","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1KLBR0001"
"442","غالبرح","KLBX1","ح . لبنیات کالبر","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1KLBR0101"
"443","غبشهر","SBEH1","صنعتی بهشهر","محصولات غذایی و آشامیدنی به جز قند و شکر","تابلو اصلی","خاص","فعال","IRO1SBEH0001"
"444","غبشهرح","SBEX1","ح . صنعتی بهشهر","محصولات غذایی و آشامیدنی به جز قند و شکر","تابلو اصلی","خاص","فعال","IRR1SBEH0101"
"445","غبهپاک","BEPP1","بهپاک","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1BEPP0001"
"446","غبهپاکح","BEPX1","ح . بهپاک","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1BEPP0101"
"447","غبهنوش","BENN1","بهنوش ایران","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1BENN0001"
