"id","fname","ename","company","bussiness_group","board","name_type","symbol_status","code"
"1","18719101","IKCQ1","اوراق مشارکت ایران خودرو","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRB5IKCO8751"
"2","آبادا","NBAB1","تولید نیروی برق آبادان","عرضه برق ، گاز ، بخاروآب گرم","فهرست اولیه","خاص","فعال","IRO1NBAB0001"
"3","آپ","APPE1","آسان پرداخت پرشین","رایانه و فعالیت‌های وابسته به آن","فهرست اولیه","خاص","فعال","IRO1APPE0001"
"4","آسیا","ASIA1","بیمه آسیا","بیمه وصندوق بازنشستگی به جزتامین اجتماعی","تابلو فرعی","عام1","فعال","IRO1ASIA0001"
"5","آسیاتک","ASTC1","انتقال داده‌های آسیاتک","اطلاعات و ارتباطات","فهرست اولیه","خاص","فعال","IRO1ASTC0001"
"6","آکنتور","CONT1","کنتورسازی ایران","ابزارپزشکی ، اپتیکی و اندازه‌گیری","تابلو فرعی","خاص","تعلیق شده","IRO1CONT0001"
"7","آکنتورح","CONX1","ح . کنتورسازی ایران","ابزارپزشکی ، اپتیکی و اندازه‌گیری","تابلو فرعی",,"فعال","IRR1CONT0101"
"8","اخابر","MKBT1","مخابرات ایران","مخابرات","تابلو اصلی","خاص","فعال","IRO1MKBT0001"
"9","اخابرح","MKBX1","ح . مخابرات ایران","مخابرات","تابلو اصلی","خاص","فعال","IRR1MKBT0101"
"10","افق","OFOG1","فروشگاههای زنجیره‌ای افق کوروش","خرده‌فروشی ، باستثنای وسایل نقلیه موتوری","فهرست اولیه","عام1","فعال","IRO1OFOG0001"
"11","افقح","OFOX1","ح . فروشگاه زنجیره‌ای افق کوروش","خرده‌فروشی ، باستثنای وسایل نقلیه موتوری","فهرست اولیه","خاص","فعال","IRR1OFOG0101"
"12","اکالا","BKLA1","کارگزاران بورس کالای ایران","فعالیتهای کمکی به نهادهای مالی واسط","تابلو فرعی","خاص","فعال","IRO1BKLA0001"
"13","اکتیو","ACTV1","پدیده شیمی قرن","محصولات شیمیایی","فهرست اولیه","خاص","فعال","IRO1ACTV0001"
"14","البرز","BALB1","بیمه البرز","بیمه وصندوق بازنشستگی به جزتامین اجتماعی","تابلو اصلی","عام1","فعال","IRO1BALB0001"
"15","البرزح","BABX1","ح . بیمه البرز","بیمه وصندوق بازنشستگی به جزتامین اجتماعی","تابلو اصلی","خاص","فعال","IRR1BALB0101"
"16","امید","OMID1","تامین سرمایه امید","فعالیتهای کمکی به نهادهای مالی واسط","فهرست اولیه","عام1","فعال","IRO1OMID0001"
"17","امیدح","OMIX1","ح . تامین سرمایه امید","فعالیتهای کمکی به نهادهای مالی واسط","فهرست اولیه","خاص","فعال","IRR1OMID0101"
"18","امین","TSAN1","تامین سرمایه امین","فعالیتهای کمکی به نهادهای مالی واسط","فهرست اولیه","عام1","فعال","IRO1TSAN0001"
"19","انرژی1","BENA1","نهادهای مالی بورس انرژی","فعالیتهای کمکی به نهادهای مالی واسط","فهرست اولیه","خاص","فعال","IRO1BENA0001"
"20","انرژی2","BENB1","فعالان بورس انرژی","فعالیتهای کمکی به نهادهای مالی واسط","فهرست اولیه","خاص","فعال","IRO1BENB0001"
"21","انرژی3","BENC1","سایراشخاص بورس انرژی","فعالیتهای کمکی به نهادهای مالی واسط","فهرست اولیه","خاص","فعال","IRO1BENC0001"
"22","باختر","BAKH1","کابل باختر","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","عام1","فعال","IRO1BAKH0001"
"23","باخترح","BAKX1","ح . کابل باختر","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRR1BAKH0101"
"24","بالبر","KALZ1","کابل البرز","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRO1KALZ0001"
"25","بالبرح","KALX1","ح . کابل البرز","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRR1KALZ0101"
"26","بایکا","KBLI1","کابلسازی ایران","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRO1KBLI0001"
"27","بایکاح","KBLX1","ح . کابلسازی ایران","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRR1KBLI0101"
"28","بترانس","TRNS1","ایران ترانسفو","ماشین آلات و دستگاه‌های برقی","تابلو اصلی","خاص","فعال","IRO1TRNS0001"
"29","بترانسح","TRNX1","ح . ایران ترانسفو","ماشین آلات و دستگاه‌های برقی","تابلو فرعی","خاص","فعال","IRR1TRNS0101"
"30","بتک","KTAK1","کابلسازی تک","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRO1KTAK0001"
"31","بتکح","KTAX1","ح . کابلسازی تک","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRR1KTAK0101"
"32","بجهرم","JHRM1","توسعه مولد نیروگاهی جهرم","عرضه برق ، گاز ، بخاروآب گرم","فهرست اولیه","خاص","فعال","IRO1JHRM0001"
"33","برانسفو","TTZC1","ترانسفورماتور توزیع زنگان","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRO1TTZC0001"
"34","برکت","BRKT1","گروه دارویی برکت","مواد و محصولات دارویی","فهرست اولیه","عام1","فعال","IRO1BRKT0001"
"35","برکتح","BRKX1","ح . گروه دارویی برکت","مواد و محصولات دارویی","فهرست اولیه","خاص","فعال","IRR1BRKT0101"
"36","بسویچ","SWIC1","پارس سویچ","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRO1SWIC0001"
"37","بسویچح","SWIX1","ح . پارس سویچ","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRR1SWIC0101"
"38","بشهاب","LAPS1","لامپ پارس شهاب","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRO1LAPS0001"
"39","بشهابح","LAPX1","ح . لامپ پارس شهاب","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRR1LAPS0101"
"40","بفجر","BFJR1","فجر انرژی خلیج‌فارس","عرضه برق ، گاز ، بخاروآب گرم","فهرست اولیه","خاص","فعال","IRO1BFJR0001"
"41","بکاب","JOSH1","صنایع جوشکاب یزد","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRO1JOSH0001"
"42","بکابح","JOSX1","ح . صنایع جوشکاب یزد","ماشین آلات و دستگاه‌های برقی","فهرست اولیه","خاص","فعال","IRR1JOSH0101"
"43","بکام","KGND1","کارخانجات تولیدی شهید قندی","ماشین آلات و دستگاه‌های برقی","تابلو فرعی","خاص","متوقف","IRO1KGND0001"
"44","بکامح","KGNX1","ح . کارخانجات تولیدی شهید قندی","ماشین آلات و دستگاه‌های برقی","تابلو فرعی","خاص","فعال","IRR1KGND0101"
"45","بموتو","MOTJ1","موتوژن","ماشین آلات و دستگاه‌های برقی","تابلو اصلی","خاص","فعال","IRO1MOTJ0001"
"46","بموتوح","MOTX1","ح . موتوژن","ماشین آلات و دستگاه‌های برقی","تابلو اصلی","خاص","فعال","IRR1MOTJ0101"
"47","بنیرو","NIRO1","نیرو ترانس","ماشین آلات و دستگاه‌های برقی","تابلو فرعی","خاص","فعال","IRO1NIRO0001"
"48","بنیروح","NIRX1","ح . نیرو ترانس","ماشین آلات و دستگاه‌های برقی","تابلو فرعی","خاص","فعال","IRR1NIRO0101"
"49","بورس","BORS1","بورس اوراق بهادار تهران","فعالیتهای کمکی به نهادهای مالی واسط","تابلو اصلی","عام1","فعال","IRO1BORS0001"
"50","پارتا","ARTA1","مجتمع صنعتی آرتاویل تایر","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1ARTA0001"
"51","پارتاح","ARTX1","ح . مجتمع صنعتی آرتاویل تایر","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1ARTA0101"
"52","پارس","PARS1","پتروشیمی پارس","محصولات شیمیایی","فهرست اولیه","عام1","متوقف","IRO1PARS0001"
"53","پارسان","PASN1","گسترش نفت و گاز پارسیان","محصولات شیمیایی","تابلو اصلی","خاص","متوقف","IRO1PASN0001"
"54","پارسانح","PASX1","ح . گسترش نفت و گاز پارسیان","محصولات شیمیایی","تابلو اصلی","خاص","فعال","IRR1PASN0101"
"55","پارسیان","IPAR1","بیمه پارسیان","بیمه وصندوق بازنشستگی به جزتامین اجتماعی","تابلو فرعی","عام2","فعال","IRO1IPAR0001"
"56","پارسیانح","IPAX1","ح . بیمه پارسیان","بیمه وصندوق بازنشستگی به جزتامین اجتماعی","تابلو فرعی","خاص","فعال","IRR1IPAR0101"
"57","پاسا","YASA1","ایران یاسا تایر و رابر","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1YASA0001"
"58","پاساح","YASX1","ح . ایران یاس اتایر و رابر","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1YASA0101"
"59","پاکشو","PASH1","گروه صنعتی پاکشو","محصولات شیمیایی","فهرست اولیه","خاص","فعال","IRO1PASH0001"
"60","پتایر","TAIR1","ایران تایر","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1TAIR0001"
"61","پتایرح","TAIX1","ح . ایران تایر","لاستیک و پلاستیک","تابلو فرعی","خاص","فعال","IRR1TAIR0101"
"62","پترول","IPTR1","گروه پتروشیمی س . ایرانیان","محصولات شیمیایی","فهرست اولیه","خاص","فعال","IRO1IPTR0001"
"63","پترولح","IPTX1","ح . گروه پتروشیمی س . ایرانیان","محصولات شیمیایی","فهرست اولیه","خاص","فعال","IRR1IPTR0101"
"64","پدرخش","DRKH1","درخشان تهران","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1DRKH0001"
"65","پدرخشح","DRKX1","ح . درخشان تهران","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1DRKH0101"
"66","پدنا","DENA1","تولیدی لاستیک دنا","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1DENA0001"
"67","پدناح","DENX1","ح . تولیدی لاستیک دنا","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1DENA0101"
"68","پرداخت","PRKT1","به پرداخت ملت","رایانه و فعالیت‌های وابسته به آن","فهرست اولیه","عام1","فعال","IRO1PRKT0001"
"69","پرداختح","PRKX1","ح . به پرداخت ملت","رایانه و فعالیت‌های وابسته به آن","فهرست اولیه","خاص","فعال","IRR1PRKT0101"
"70","پردیس","AYEG1","سرمایه‌گذاری پردیس","سرمایه گذاریها","تابلو اصلی","عام2","فعال","IRO1AYEG0001"
"71","پردیسح","AYEX1","ح . سرمایه‌گذاری پردیس","سرمایه گذاریها","تابلو اصلی","خاص","فعال","IRR1AYEG0101"
"72","پرشیا","PERS1","توسعه صنعت نفت و گاز پرشیا","استخراج نفت گاز و خدمات جنبی جز اکتشاف","فهرست اولیه","خاص","فعال","IRO1PERS0001"
"73","پسهند","SHND1","صنایع لاستیکی سهند","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1SHND0001"
"74","پسهندح","SHNX1","ح . صنایع لاستیکی سهند","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1SHND0101"
"75","پشاهن","SHIN1","پلاستیک شاهین","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1SHIN0001"
"76","پشاهنح","SHIX1","ح . پلاستیک شاهین","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1SHIN0101"
"77","پکرمان","BARZ1","گروه صنعتی بارز","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1BARZ0001"
"78","پکرمانح","BARX1","ح . گروه صنعتی بارز","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1BARZ0101"
"79","پکویر","KVRZ1","کویر تایر","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1KVRZ0001"
"80","پکویرح","KVRX1","ح . کویر تایر","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1KVRZ0101"
"81","پکیان","LALZ1","لاستیک البرز","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1LALZ0001"
"82","پکیانح","LALX1","ح . لاستیک البرز","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1LALZ0101"
"83","پلاست","PLST1","پلاستیران","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1PLST0001"
"84","پلاستح","PLSX1","ح . پلاستیران","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1PLST0101"
"85","پلاسک","PLKK1","پلاسکوکار","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1PLKK0001"
"86","پلاسکح","PLKX1","ح . پلاسکوکار","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1PLKK0101"
"87","پلوله","GAZL1","گاز لوله","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRO1GAZL0001"
"88","پلولهح","GAZX1","ح . گاز لوله","لاستیک و پلاستیک","فهرست اولیه","خاص","فعال","IRR1GAZL0101"
"89","پیزد","LYZD1","مجتمع صنایع لاستیک یزد","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRO1LYZD0001"
"90","تاپیکو","PTAP1","س . نفت و گاز و پتروشیمی تامین","محصولات شیمیایی","فهرست اولیه","خاص","فعال","IRO1PTAP0001"
"91","تاپیکوح","PTAX1","ح . س . نفت وگاز و پتروشیمی تامین","محصولات شیمیایی","فهرست اولیه","خاص","فعال","IRR1PTAP0101"
"92","تاصیکو","SADR1","سرمایه‌گذاری صدر تامین","استخراج کانه‌های فلزی","فهرست اولیه","خاص","متوقف","IRO1SADR0001"
"93","تاصیکوح","SDDX1","ح . سرمایه‌گذاری صدر تامین","استخراج کانه‌های فلزی","فهرست اولیه","خاص","فعال","IRR1SADR0101"
"94","تایرا","TRIR1","تراکتورسازی ایران","ماشین آلات و تجهیزات","تابلو اصلی","خاص","فعال","IRO1TRIR0001"
"95","تایراح","TRIX1","ح . تراکتورسازی ایران","ماشین آلات و تجهیزات","تابلو اصلی","خاص","فعال","IRR1TRIR0101"
"96","تپکو","HPKO1","تولید تجهیزات سنگین هپکو","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRO1HPKO0001"
"97","تپکوح","HPKX1","ح . تولیدت جهیزات سنگین هپکو","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRR1HPKO0101"
"98","تپمپی","PIRN1","پمپ‌سازی ایران","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRO1PIRN0001"
"99","تپمپیح","PIRX1","ح . پمپ‌سازی ایران","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRR1PIRN0101"
"100","تراک","MOZI1","ماشین‌آلات صنعتی تراکتورسازی","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRO1MOZI0001"
"101","تراکح","MOZX1","ح . ماشین‌آلات صنعتی تراکتورسازی","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRR1MOZI0101"
"102","تفیرو","FROZ1","فیروزا","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRO1FROZ0001"
"103","تفیروح","FROX1","ح . فیروزا","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRR1FROZ0101"
"104","تکالا","TKLA1","تولیدکنندگان بورس کالای ایران","فعالیتهای کمکی به نهادهای مالی واسط","تابلو فرعی","خاص","فعال","IRO1TKLA0001"
"105","تکشا","GSKE1","گسترش صنایع و خدمات کشاورزی","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRO1GSKE0001"
"106","تکشاح","GSKX1","ح . صنایع و خدمات کشاورزی","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRR1GSKE0101"
"107","تکمبا","COMB1","کمباین‌سازی ایران","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRO1COMB0001"
"108","تکمباح","COMX1","ح . کمباین‌سازی ایران","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRR1COMB0101"
"109","تکنو","TKNO1","تکنوتار","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRO1TKNO0001"
"110","تکنوح","TKNX1","ح . تکنوتار","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRR1TKNO0101"
"111","تمحرکه","MNMH1","ماشین‌سازی نیرو محرکه","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRO1MNMH0001"
"112","تمحرکهح","MNMX1","ح . ماشین‌سازی نیرو محرکه","ماشین آلات و تجهیزات","فهرست اولیه","خاص","فعال","IRR1MNMH0101"
"113","تملت","TMLT1","تامین سرمایه بانک ملت","فعالیتهای کمکی به نهادهای مالی واسط","فهرست اولیه","خاص","فعال","IRO1TMLT0001"
"114","تنوین","TNOV1","تامین سرمایه نوین","فعالیتهای کمکی به نهادهای مالی واسط","فهرست اولیه","خاص","فعال","IRO1TNOV0001"
"115","تیپیکو","DTIP1","سرمایه‌گذاری دارویی تامین","مواد و محصولات دارویی","تابلو فرعی","خاص","فعال","IRO1DTIP0001"
"116","ثاباد","ABAD1","توریستی و رفاهی آبادگران ایران","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRO1ABAD0001"
"117","ثابادح","ABAX1","ح . توریستی و رفاهی آبادگران","انبوه‌سازی ، املاک و مستغلات","تابلو فرعی","خاص","فعال","IRR1ABAD0101"
"118","ثاخت","BSTE1","بین‌المللی توسعه ساختمان","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRO1BSTE0001"
"119","ثاختح","BSTX1","ح . بین‌المللی توسعه ساختمان","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRR1BSTE0101"
"120","ثاژن","SAJN1","سخت آژند","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRO1SAJN0001"
"121","ثاژنح","SAJX1","ح . سخت آژند","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRR1SAJN0101"
"122","ثاصفا","SESF1","ساختمان اصفهان","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRO1SESF0001"
"123","ثاصفاح","SESX1","ح .  ساختمان اصفهان","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRR1SESF0101"
"124","ثامان","SGOS1","سامان‌گستر اصفهان","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRO1SGOS0001"
"125","ثامانح","SGOX1","ح . سامان‌گستر اصفهان","انبوه‌سازی ، املاک و مستغلات","تابلو فرعی","خاص","فعال","IRR1SGOS0101"
"126","ثبهساز","BEKA1","بهساز کاشانه تهران","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRO1BEKA0001"
"127","ثشاهد","SAHD1","سرمایه‌گذاری شاهد","انبوه‌سازی ، املاک و مستغلات","تابلو اصلی","خاص","فعال","IRO1SAHD0001"
"128","ثشاهدح","SAHX1","ح . سرمایه‌گذاری شاهد","انبوه‌سازی ، املاک و مستغلات","تابلو اصلی","خاص","فعال","IRR1SAHD0101"
"129","ثشرق","PMSZ1","سرمایه‌گذاری مسکن شمال شرق","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRO1PMSZ0001"
"130","ثشرقح","PMSX1","ح . سرمایه‌گذاری مسکن شمال شرق","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRR1PMSZ0101"
"131","ثفارس","OFRS1","عمران و توسعه فارس","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRO1OFRS0001"
"132","ثفارسح","OFRX1","ح . عمران و توسعه فارس","انبوه‌سازی ، املاک و مستغلات","تابلو فرعی","خاص","فعال","IRR1OFRS0101"
"133","ثمسکن","MSKN1","سرمایه‌گذاری مسکن","انبوه‌سازی ، املاک و مستغلات","تابلو اصلی","خاص","فعال","IRO1MSKN0001"
"134","ثمسکنح","MSKX1","ح . سرمایه‌گذاری مسکن","انبوه‌سازی ، املاک و مستغلات","تابلو اصلی","خاص","فعال","IRR1MSKN0101"
"135","ثملی","BMLI1","بین‌المللی ساختمان و صنعت ملی","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRO1BMLI0001"
"136","ثنوسا","NSTH1","نوسازی و ساختمان تهران","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRO1NSTH0001"
"137","ثنوساح","NSTX1","ح . نوسازی و ساختمان تهران","انبوه‌سازی ، املاک و مستغلات","فهرست اولیه","خاص","فعال","IRR1NSTH0101"
"138","جم","PJMZ1","پتروشیمی جم","محصولات شیمیایی","فهرست اولیه","عام2","فعال","IRO1PJMZ0001"
"139","جم پیلن","JPPC1","پلی پروپیلن جم - جم پیلن","محصولات شیمیایی","فهرست اولیه","خاص","فعال","IRO1JPPC0001"
"140","جمح","PJMX1","ح . پتروشیمی جم","محصولات شیمیایی","فهرست اولیه","خاص","فعال","IRR1PJMZ0101"
"141","چافست","OFST1","افست","انتشار ، چاپ و تکثیر","فهرست اولیه","خاص","فعال","IRO1OFST0001"
"142","چافستح","OFSX1","ح . افست","انتشار ، چاپ و تکثیر","فهرست اولیه","خاص","فعال","IRR1OFST0101"
"143","چبسپا","BPRS1","بسته‌بندی پارس","محصولات کاغذی","فهرست اولیه","خاص","فعال","IRO1BPRS0001"
"144","چبسپاح","BPRX1","ح . بسته‌بندی پارس","محصولات کاغذی","فهرست اولیه","خاص","فعال","IRR1BPRS0101"
"145","چدن","CHDN1","تولیدی چدن‌سازان","ساخت محصولات فلزی","تابلو فرعی","خاص","متوقف","IRO1CHDN0001"
"146","چفیبر","FIBR1","فیبر ایران","محصولات چوبی","فهرست اولیه","خاص","فعال","IRO1FIBR0001"
"147","چفیبرح","FIBX1","ح . فیبر ایران","محصولات چوبی","فهرست اولیه","خاص","فعال","IRR1FIBR0101"
"148","چکاپا","KAPA1","گروه صنایع کاغذ پارس","محصولات کاغذی","فهرست اولیه","خاص","متوقف","IRO1KAPA0011"
"149","چکارم","KMSH1","کارتن مشهد","محصولات کاغذی","فهرست اولیه","خاص","فعال","IRO1KMSH0001"
"150","چکارمح","KMSX1","ح . کارتن مشهد","محصولات کاغذی","فهرست اولیه","خاص","فعال","IRR1KMSH0101"
"151","چکارن","KRTI1","کارتن ایران","محصولات کاغذی","فهرست اولیه","خاص","فعال","IRO1KRTI0001"
"152","چکارنح","KRTX1","ح . کارتن ایران","محصولات کاغذی","فهرست اولیه","خاص","فعال","IRR1KRTI0101"
"153","چکاوه","KSKA1","صنایع کاغذسازی کاوه","محصولات کاغذی","فهرست اولیه","خاص","فعال","IRO1KSKA0001"
"154","چکاوهح","KSKX1","ح . صنایع کاغذسازی کاوه","محصولات کاغذی","فهرست اولیه","خاص","فعال","IRR1KSKA0101"
"155","چنوپا","NEOP1","نیوپان 22 بهمن","محصولات چوبی","فهرست اولیه","خاص","فعال","IRO1NEOP0001"
"156","چنوپاح","NEOX1","ح . نیوپان 22 بهمن","محصولات چوبی","فهرست اولیه","خاص","فعال","IRR1NEOP0101"
"157","حپترو","HJPT1","حمل‌ونقل پتروشیمی","حمل‌ونقل ، انبارداری و ارتباطات","فهرست اولیه","خاص","فعال","IRO1HJPT0001"
"158","حپتروح","HJPX1","ح . حمل‌ونقل پتروشیمی","حمل‌ونقل ، انبارداری و ارتباطات","فهرست اولیه","خاص","فعال","IRR1HJPT0101"
"159","حتاید","TAYD1","تاید واتر خاورمیانه","حمل‌ونقل ، انبارداری و ارتباطات","تابلو اصلی","خاص","فعال","IRO1TAYD0001"
"160","حتایدح","TAYX1","ح . تاید واتر خاورمیانه","حمل‌ونقل ، انبارداری و ارتباطات","تابلو اصلی","خاص","فعال","IRR1TAYD0101"
"161","حتوکا","HTOK1","حمل‌ونقل توکا","حمل‌ونقل ، انبارداری و ارتباطات","فهرست اولیه","خاص","فعال","IRO1HTOK0001"
"162","حتوکاح","HTOX1","ح . حمل‌ونقل توکا","حمل‌ونقل ، انبارداری و ارتباطات","فهرست اولیه","خاص","فعال","IRR1HTOK0101"
"163","حفارس","HFRS1","حمل‌ونقل بین‌المللی خلیج‌فارس","حمل‌ونقل ، انبارداری و ارتباطات","فهرست اولیه","خاص","فعال","IRO1HFRS0001"
"164","حفاری","HSHM1","حفاری شمال","استخراج نفت گاز و خدمات جنبی جز اکتشاف","تابلو اصلی","عام2","فعال","IRO1HSHM0001"
"165","حفاریح","HSHX1","ح . حفاری شمال","استخراج نفت گاز و خدمات جنبی جز اکتشاف","تابلو اصلی","خاص","فعال","IRR1HSHM0101"
"166","حفجر","KFJR1","کشتیرانی والفجر","حمل‌ونقل آبی","تابلو فرعی","خاص","فعال","IRO1KFJR0001"
"167","حکشتی","KSHJ1","کشتیرانی جمهوری اسلامی ایران","حمل‌ونقل ، انبارداری و ارتباطات","فهرست اولیه","خاص","فعال","IRO1KSHJ0001"
"168","حکشتیح","KSHX1","ح . کشتیرانی ج . ا . ا","حمل‌ونقل ، انبارداری و ارتباطات","فهرست اولیه","خاص","فعال","IRR1KSHJ0101"
"169","خاذین","AZIN1","سایپا آذین","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRO1AZIN0001"
"170","خاذینح","AZIX1","ح . سایپا آذین","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRR1AZIN0101"
"171","خاهن","ATIR1","آهنگری تراکتورسازی ایران","خودرو و ساخت قطعات","تابلو فرعی","خاص","فعال","IRO1ATIR0001"
"172","خاهنح","ATIX1","ح . آهنگری تراکتورسازی ایران","خودرو و ساخت قطعات","تابلو فرعی","خاص","فعال","IRR1ATIR0101"
"173","خاور","KAVR1","ایران خودرو دیزل","خودرو و ساخت قطعات","فهرست اولیه","عام2","فعال","IRO1KAVR0001"
"174","خاورح","KAVX1","ح . ایران خودرو دیزل","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRR1KAVR0101"
"175","خبهمن","BHMN1","گروه بهمن","خودرو و ساخت قطعات","تابلو اصلی","خاص","فعال","IRO1BHMN0001"
"176","خبهمنح","BHMX1","ح . گروه بهمن","خودرو و ساخت قطعات","تابلو اصلی","خاص","فعال","IRR1BHMN0101"
"177","خپارس","PKOD1","پارس خودرو","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRO1PKOD0001"
"178","خپارسح","PKOX1","ح . پارس خودرو","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRR1PKOD0101"
"179","خپویش","SZPO1","سازه پویش","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRO1SZPO0001"
"180","خپویشح","SZPX1","ح . سازه پویش","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRR1SZPO0101"
"181","ختراک","RTIR1","ریخته‌گری تراکتورسازی ایران","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRO1RTIR0001"
"182","ختراکح","RTIX1","ح . ریخته‌گری تراکتورسازی","خودرو و ساخت قطعات","تابلو فرعی","خاص","فعال","IRR1RTIR0101"
"183","ختور","RADI1","رادیاتور ایران","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRO1RADI0001"
"184","ختورح","RADX1","ح . رادیاتور ایران","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRR1RADI0101"
"185","ختوقا","GHAT1","قطعات اتومبیل ایران","خودرو و ساخت قطعات","تابلو فرعی","خاص","فعال","IRO1GHAT0001"
"186","ختوقاح","GHAX1","ح . قطعات اتومبیل ایران","خودرو و ساخت قطعات","تابلو فرعی","خاص","فعال","IRR1GHAT0101"
