,user,follower
0,AHWINAHWI,1293464108977868800
1,AHWINAHWI,1322065470237888512
2,AHWINAHWI,205776433
3,AHWINAHWI,1170030260735356931
4,AHWINAHWI,1144557924519481344
5,AHWINAHWI,716081221999009792
6,AHWINAHWI,986810083282534400
7,AHWINAHWI,1901298962
8,AHWINAHWI,998874670505103360
9,AHWINAHWI,278673907
10,AHWINAHWI,1004044767053996032
11,AHWINAHWI,994868600870703106
12,AHWINAHWI,3121703622
13,AHWINAHWI,970035030373339139
14,AHWINAHWI,571255285
15,AHWINAHWI,2835245152
16,AHWINAHWI,2701578067
17,AHWINAHWI,327872176
18,usmandanladi102,1399087381635010573
19,usmandanladi102,721055638533586944
20,usmandanladi102,2513979107
21,usmandanladi102,1226648296703320065
22,usmandanladi102,1230761449816854539
23,usmandanladi102,1340999313481216000
24,usmandanladi102,1141988299101396993
25,usmandanladi102,1274609102484901888
26,usmandanladi102,220050380
27,usmandanladi102,1249262756538318850
28,usmandanladi102,1292990516
29,usmandanladi102,4861464188
30,usmandanladi102,2918487837
31,usmandanladi102,1127192291364548608
32,usmandanladi102,876830158908522497
33,usmandanladi102,877817672460890112
34,usmandanladi102,1100033813986635777
35,usmandanladi102,1065338873994199043
36,usmandanladi102,4923165441
37,usmandanladi102,563514130
38,usmandanladi102,1062669506592542722
39,usmandanladi102,1612559647
40,usmandanladi102,923144253752119296
41,usmandanladi102,3478692436
42,usmandanladi102,868261347322200064
43,usmandanladi102,249309428
44,usmandanladi102,991729091685515265
45,usmandanladi102,986243340097204226
46,usmandanladi102,775970815120736257
47,usmandanladi102,828991481390182402
48,usmandanladi102,2330316240
49,usmandanladi102,134104462
50,usmandanladi102,877136943947149312
51,usmandanladi102,167760471
52,usmandanladi102,2367507445
53,usmandanladi102,2458569077
54,usmandanladi102,887819347636387840
55,SaitoOfficial,1130607398815584256
56,SaitoOfficial,2287626943
57,SaitoOfficial,1385439843027537923
58,SaitoOfficial,1507841604387713025
59,SaitoOfficial,1436680695468855304
60,SaitoOfficial,1520382425653825536
61,SaitoOfficial,1435580087898804226
62,SaitoOfficial,1363420810904395784
63,SaitoOfficial,1376628121257050112
64,SaitoOfficial,1278398532815372289
65,SaitoOfficial,1308784825860530177
66,SaitoOfficial,1234331867282731010
67,SaitoOfficial,1529149295059996673
68,SaitoOfficial,1275481551271321605
69,SaitoOfficial,1529118988848054273
70,SaitoOfficial,1523026097155325954
71,SaitoOfficial,1458076492567617544
72,SaitoOfficial,867137058304864256
73,SaitoOfficial,1445936594129670146
74,SaitoOfficial,1217144044817657857
75,SaitoOfficial,1463874766205562884
76,SaitoOfficial,1302716648265330691
77,SaitoOfficial,1269519778978414593
78,SaitoOfficial,944062287748329473
79,SaitoOfficial,1331639872440967168
80,SaitoOfficial,1427035966607433729
81,SaitoOfficial,1528777431795920902
82,SaitoOfficial,1464064862842019843
83,SaitoOfficial,1529486227535192065
84,SaitoOfficial,1434734646709739520
85,SaitoOfficial,977302952527454213
86,SaitoOfficial,1423692076021997571
87,SaitoOfficial,1246843466799292419
88,SaitoOfficial,1388150630494072841
89,SaitoOfficial,418583867
90,SaitoOfficial,1363906478868848640
91,SaitoOfficial,1209925333
92,SaitoOfficial,1676832930
93,SaitoOfficial,1464041326916288512
94,SaitoOfficial,1525629156922474498
95,SaitoOfficial,126842951
96,SaitoOfficial,703843729916858368
97,SaitoOfficial,1426414119066996738
98,SaitoOfficial,1435028366265028615
99,SaitoOfficial,1452403729773342726
100,SaitoOfficial,1437262200108847105
101,SaitoOfficial,1514115771860934656
102,SaitoOfficial,1417687722613895170
103,SaitoOfficial,1312994543541731328
104,SaitoOfficial,939344555262009344
105,SaitoOfficial,1506378364080345090
106,SaitoOfficial,1482079170234662919
107,SaitoOfficial,1473136637152403457
108,SaitoOfficial,928361813405679616
109,SaitoOfficial,1521026496730525697
110,SaitoOfficial,1344538656015577089
111,SaitoOfficial,4858408781
112,SaitoOfficial,1528974785413369857
113,SaitoOfficial,1425879066264145922
114,SaitoOfficial,1435654557393211392
115,SaitoOfficial,1272576556930457600
116,SaitoOfficial,949662826490138630
117,SaitoOfficial,1014341832
118,SaitoOfficial,959262687858479109
119,SaitoOfficial,1121542409731674112
120,SaitoOfficial,500252156
121,SaitoOfficial,2692063149
122,SaitoOfficial,132328307
123,SaitoOfficial,221088850
124,SaitoOfficial,1410208164516093955
125,SaitoOfficial,1160826339680837632
126,SaitoOfficial,1513996098448338953
127,SaitoOfficial,1461363671825674248
128,SaitoOfficial,1430664455097135112
129,SaitoOfficial,1439533263366901763
130,SaitoOfficial,1431173725760720896
131,SaitoOfficial,1276687377138774023
132,SaitoOfficial,773091828
133,SaitoOfficial,1522443601178873856
134,SaitoOfficial,1435025009374732288
135,SaitoOfficial,1442173839064985603
136,SaitoOfficial,1371948696187834371
137,SaitoOfficial,1075887120
138,SaitoOfficial,896039118848745472
139,SaitoOfficial,2819319793
140,SaitoOfficial,919287748464381952
141,SaitoOfficial,1489754541654372356
142,SaitoOfficial,1401082245830479872
143,SaitoOfficial,407453487
144,SaitoOfficial,1392381068544675841
145,SaitoOfficial,1497699476609413130
146,SaitoOfficial,949543752934281217
147,SaitoOfficial,1248235590891515906
148,SaitoOfficial,1941977634
149,SaitoOfficial,1394736450416033797
150,SaitoOfficial,1419758987239645184
151,SaitoOfficial,1424061360326029315
152,SaitoOfficial,1528402154045816835
153,SaitoOfficial,1380934769970540545
154,SaitoOfficial,1106683033
155,SaitoOfficial,1027990057049890817
156,SaitoOfficial,1501251188985147392
157,SaitoOfficial,1025154041377173504
158,SaitoOfficial,1516843109354971140
159,SaitoOfficial,1524787495015268354
160,SaitoOfficial,1589939522
161,SaitoOfficial,1423514779755372550
162,SaitoOfficial,1465590962290413574
163,SaitoOfficial,1255730494433624066
164,SaitoOfficial,1355613683204943873
165,SaitoOfficial,3242614220
166,SaitoOfficial,1469530055999062016
167,SaitoOfficial,1319386211774070785
168,SaitoOfficial,1406073761498025985
169,SaitoOfficial,1427838549328601089
170,SaitoOfficial,81264027
171,SaitoOfficial,1377840353357623300
172,SaitoOfficial,1525722940314390528
173,SaitoOfficial,2574037202
174,SaitoOfficial,946497871288946688
175,SaitoOfficial,283706305
176,SaitoOfficial,1515203433363828736
